Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
1,"0.15","0.31","5.82"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"4.8000","154.0631","0.3112","0.0000"
"4.8200","154.0399","0.3112","0.0000"
"4.8400","154.0215","0.3112","0.0000"
"4.8600","153.9812","0.3112","0.0000"
"4.8800","154.0550","0.3112","0.0000"
"4.9000","154.1539","0.3112","0.0000"
"4.9200","154.1245","0.3112","0.0000"
"4.9400","154.0759","0.3112","0.0000"
"4.9600","154.0957","0.3112","0.0000"
"4.9800","154.0259","0.3112","0.0000"
"5.0000","154.0031","0.3112","0.0000"
"5.0200","154.0139","0.3112","0.0000"
"5.0400","154.0403","0.3112","0.0000"
"5.0600","154.1431","0.3112","0.0000"
"5.0800","154.1597","0.3112","0.0000"
"5.1000","154.1249","0.3112","0.0000"
"5.1200","154.0708","0.3112","0.0000"
"5.1400","154.0387","0.3112","0.0000"
"5.1600","154.0136","0.3112","0.0000"
"5.1800","154.0019","0.3112","0.0000"
"5.2000","154.0959","0.3112","0.0000"
"5.2200","154.1996","0.3112","0.0000"
"5.2400","154.1855","0.3112","0.0000"
"5.2600","154.1550","0.3112","0.0000"
"5.2800","154.1621","0.3112","0.0000"
"5.3000","154.1376","0.3112","0.0000"
"5.3200","154.1965","0.3112","0.0000"
"5.3400","154.2063","0.3112","0.0000"
"5.3600","154.1544","0.3112","0.0000"
"5.3800","154.1228","0.3112","0.0000"
"5.4000","154.1235","0.3112","0.0000"
"5.4200","154.1273","0.3112","0.0000"
"5.4400","154.1103","0.3112","0.0000"
"5.4600","154.2325","0.3112","0.0000"
"5.4800","154.2735","0.3112","0.0000"
"5.5000","154.1646","0.3112","0.0000"
"5.5200","154.1061","0.3112","0.0000"
"5.5400","154.1178","0.3112","0.0000"
"5.5600","154.1565","0.3112","0.0000"
"5.5800","154.2053","0.3112","0.0000"
"5.6000","154.1931","0.3112","0.0000"
"5.6200","154.1322","0.3112","0.0000"
"5.6400","154.1366","0.3112","0.0000"
"5.6600","154.1597","0.3112","0.0000"
"5.6800","154.1399","0.3112","0.0000"
"5.7000","154.1579","0.3112","0.0000"
"5.7200","154.1938","0.3112","0.0000"
"5.7400","154.1830","0.3112","0.0000"
"5.7600","154.2210","0.3112","0.0000"
"5.7800","154.2860","0.3112","0.0000"
"5.8000","154.3068","0.3112","0.0000"
"5.8200","154.2828","0.3112","1.0000"
"5.8400","154.1868","0.3112","1.0000"
"5.8600","154.1772","0.3112","1.0000"
"5.8800","154.3007","0.3112","1.0000"
"5.9000","154.3215","0.3112","1.0000"
"5.9200","154.2468","0.3112","1.0000"
"5.9400","154.3166","0.3112","1.0000"
"5.9600","154.3664","0.3112","1.0000"
"5.9800","154.2237","0.3112","1.0000"
"6.0000","154.1621","0.3112","1.0000"
"6.0200","154.2789","0.3112","1.0000"
"6.0400","154.2096","0.3112","1.0000"
"6.0600","154.1670","0.3112","1.0000"
"6.0800","154.2093","0.3112","1.0000"
"6.1000","154.1692","0.3112","1.0000"
"6.1200","154.2039","0.3112","1.0000"
"6.1400","154.3062","0.3112","1.0000"
"6.1600","154.1617","0.3112","1.0000"
"6.1800","154.0688","0.3112","1.0000"
"6.2000","154.1198","0.3112","1.0000"
"6.2200","154.0236","0.3112","1.0000"
"6.2400","154.0211","0.3112","1.0000"
"6.2600","154.0615","0.3112","1.0000"
"6.2800","154.0347","0.3112","1.0000"
"6.3000","153.9506","0.3112","1.0000"
"6.3200","154.0439","0.3112","1.0000"
"6.3400","154.1462","0.3112","1.0000"
"6.3600","154.0423","0.3112","1.0000"
"6.3800","153.9669","0.3112","1.0000"
"6.4000","153.9995","0.3112","1.0000"
"6.4200","154.0115","0.3112","1.0000"
"6.4400","154.0033","0.3112","1.0000"
"6.4600","154.0469","0.3112","1.0000"
"6.4800","154.0465","0.3112","1.0000"
"6.5000","153.9608","0.3112","1.0000"
"6.5200","154.0385","0.3112","1.0000"
"6.5400","154.1588","0.3112","1.0000"
"6.5600","154.0876","0.3112","1.0000"
"6.5800","153.9850","0.3112","1.0000"
"6.6000","154.0504","0.3112","1.0000"
"6.6200","153.9938","0.3112","1.0000"
"6.6400","154.0150","0.3112","1.0000"
"6.6600","154.1413","0.3112","1.0000"
"6.6800","154.0250","0.3112","1.0000"
"6.7000","153.9930","0.3112","1.0000"
"6.7200","154.0592","0.3112","1.0000"
"6.7400","154.0518","0.3112","1.0000"
"6.7600","153.9447","0.3112","1.0000"
