Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
1,"-----","-----","-----"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"5.0000","3134.1921","0.9885","0.0000"
"5.0200","3138.2986","0.9926","0.0000"
"5.0400","3142.3572","0.9967","0.0000"
"5.0600","3145.4238","1.0006","0.0000"
"5.0800","3148.4944","1.0045","0.0000"
"5.1000","3151.7952","1.0084","0.0000"
"5.1200","3154.9670","1.0123","0.0000"
"5.1400","3158.8228","1.0162","0.0000"
"5.1600","3163.1638","1.0203","0.0000"
"5.1800","3167.2607","1.0243","0.0000"
"5.2000","3171.6011","1.0284","0.0000"
"5.2200","3175.5381","1.0325","0.0000"
"5.2400","3178.7810","1.0365","0.0000"
"5.2600","3182.1809","1.0405","0.0000"
"5.2800","3185.4324","1.0445","0.0000"
"5.3000","3188.7825","1.0485","0.0000"
"5.3200","3192.6182","1.0526","0.0000"
"5.3400","3195.9050","1.0566","0.0000"
"5.3600","3198.8259","1.0606","0.0000"
"5.3800","3201.7666","1.0645","0.0000"
"5.4000","3204.4910","1.0684","0.0000"
"5.4200","3207.5676","1.0723","0.0000"
"5.4400","3211.4050","1.0763","0.0000"
"5.4600","3215.2705","1.0803","0.0000"
"5.4800","3219.3035","1.0844","0.0000"
"5.5000","3223.1729","1.0885","0.0000"
"5.5200","3226.4590","1.0925","0.0000"
"5.5400","3229.6479","1.0965","0.0000"
"5.5600","3232.8967","1.1005","0.0000"
"5.5800","3236.0349","1.1044","0.0000"
"5.6000","3239.7200","1.1084","0.0000"
"5.6200","3243.6301","1.1125","0.0000"
"5.6400","3247.0747","1.1165","0.0000"
"5.6600","3250.5095","1.1206","0.0000"
"5.6800","3253.5874","1.1246","0.0000"
"5.7000","3256.1660","1.1286","0.0000"
"5.7200","3259.3154","1.1325","0.0000"
"5.7400","3262.3887","1.1365","0.0000"
"5.7600","3265.5645","1.1405","0.0000"
"5.7800","3269.2109","1.1446","0.0000"
"5.8000","3272.2429","1.1486","0.0000"
"5.8200","3274.9631","1.1525","0.0000"
"5.8400","3278.2419","1.1565","0.0000"
"5.8600","3281.4600","1.1604","0.0000"
"5.8800","3284.7502","1.1644","0.0000"
"5.9000","3288.5020","1.1685","0.0000"
"5.9200","3292.0935","1.1725","0.0000"
"5.9400","3295.5952","1.1766","0.0000"
"5.9600","3298.5896","1.1806","0.0000"
"5.9800","3300.8560","1.1845","0.0000"
"6.0000","3303.4912","1.1885","0.0000"
"6.0200","3306.4656","1.1924","0.0000"
"6.0400","3309.3679","1.1964","0.0000"
"6.0600","3312.7844","1.2004","0.0000"
"6.0800","3316.3647","1.2045","0.0000"
"6.1000","3319.3022","1.2085","0.0000"
"6.1200","3322.2671","1.2125","0.0000"
"6.1400","3325.1848","1.2164","0.0000"
"6.1600","3328.2012","1.2204","0.0000"
"6.1800","3331.8113","1.2244","0.0000"
"6.2000","3335.3689","1.2285","0.0000"
"6.2200","3338.7825","1.2325","0.0000"
"6.2400","3342.3557","1.2366","0.0000"
"6.2600","3344.9775","1.2407","0.0000"
"6.2800","3347.1472","1.2446","0.0000"
"6.3000","3349.7986","1.2486","0.0000"
"6.3200","3352.1145","1.2524","0.0000"
"6.3400","3355.1172","1.2563","0.0000"
"6.3600","3358.7485","1.2603","0.0000"
"6.3800","3362.2280","1.2644","0.0000"
"6.4000","3365.7615","1.2684","0.0000"
"6.4200","3369.2046","1.2725","0.0000"
"6.4400","3371.8247","1.2765","0.0000"
"6.4600","3374.4360","1.2805","0.0000"
"6.4800","3377.1099","1.2845","0.0000"
"6.5000","3379.4985","1.2885","0.0000"
"6.5200","3382.4016","1.2925","0.0000"
"6.5400","3385.5125","1.2965","0.0000"
"6.5600","3388.3213","1.3005","0.0000"
"6.5800","3391.0894","1.3045","0.0000"
"6.6000","3393.6191","1.3084","0.0000"
"6.6200","3396.3892","1.3124","0.0000"
"6.6400","3399.8083","1.3164","0.0000"
"6.6600","3403.1201","1.3204","0.0000"
"6.6800","3406.1697","1.3245","0.0000"
"6.7000","3409.1895","1.3285","0.0000"
"6.7200","3411.8035","1.3325","0.0000"
"6.7400","3414.4734","1.3365","0.0000"
"6.7600","3417.3716","1.3405","0.0000"
"6.7800","3419.8972","1.3445","0.0000"
"6.8000","3422.8586","1.3485","0.0000"
"6.8200","3426.2061","1.3525","0.0000"
"6.8400","3428.9512","1.3566","0.0000"
"6.8600","3431.6521","1.3606","0.0000"
"6.8800","3434.3411","1.3646","0.0000"
"6.9000","3436.5088","1.3685","0.0000"
"6.9200","3438.9619","1.3724","0.0000"
"6.9400","3441.8049","1.3764","0.0000"
"6.9600","3444.7444","1.3803","0.0000"
"6.9800","3448.3462","1.3844","0.0000"
"7.0000","3451.9695","1.3884","0.0000"
"7.0200","3454.9863","1.3925","0.0000"
"7.0400","3458.0608","1.3965","0.0000"
"7.0600","3460.7839","1.4005","0.0000"
"7.0800","3463.2117","1.4045","0.0000"
"7.1000","3465.9824","1.4086","0.0000"
"7.1200","3468.7437","1.4126","0.0000"
"7.1400","3471.4375","1.4166","0.0000"
"7.1600","3474.3938","1.4206","0.0000"
"7.1800","3476.9475","1.4246","0.0000"
"7.2000","3479.3455","1.4285","0.0000"
"7.2200","3481.8311","1.4325","0.0000"
"7.2400","3484.1240","1.4364","0.0000"
"7.2600","3487.0059","1.4404","0.0000"
"7.2800","3490.1389","1.4444","0.0000"
"7.3000","3493.0046","1.4485","0.0000"
"7.3200","3496.0393","1.4525","0.0000"
"7.3400","3499.0776","1.4565","0.0000"
"7.3600","3501.5217","1.4605","0.0000"
"7.3800","3504.1384","1.4645","0.0000"
"7.4000","3507.0710","1.4684","0.0000"
"7.4200","3510.1619","1.4725","0.0000"
"7.4400","3513.8142","1.4766","0.0000"
"7.4600","3516.8477","1.4806","0.0000"
"7.4800","3518.7278","1.4846","0.0000"
"7.5000","3520.5928","1.4885","0.0000"
"7.5200","3522.5925","1.4924","0.0000"
"7.5400","3525.1904","1.4963","0.0000"
"7.5600","3528.5369","1.5004","0.0000"
"7.5800","3531.8110","1.5044","0.0000"
"7.6000","3534.8779","1.5085","0.0000"
"7.6200","3537.7075","1.5126","0.0000"
"7.6400","3539.9229","1.5165","0.0000"
"7.6600","3542.3550","1.5205","0.0000"
"7.6800","3545.0437","1.5245","0.0000"
"7.7000","3547.7161","1.5284","0.0000"
"7.7200","3550.8257","1.5325","0.0000"
"7.7400","3554.0405","1.5366","0.0000"
"7.7600","3556.5603","1.5406","0.0000"
"7.7800","3558.8608","1.5446","0.0000"
"7.8000","3560.9431","1.5485","0.0000"
"7.8200","3562.9541","1.5524","0.0000"
"7.8400","3565.8899","1.5563","0.0000"
"7.8600","3569.0408","1.5604","0.0000"
"7.8800","3571.9619","1.5644","0.0000"
"7.9000","3575.2024","1.5684","0.0000"
"7.9200","3577.9695","1.5725","0.0000"
"7.9400","3580.3086","1.5764","0.0000"
"7.9600","3583.1199","1.5805","0.0000"
"7.9800","3585.6575","1.5845","0.0000"
"8.0000","3588.1511","1.5885","0.0000"
"8.0200","3591.1821","1.5926","0.0000"
"8.0400","3594.0510","1.5966","0.0000"
"8.0600","3596.4775","1.6006","0.0000"
"8.0800","3598.7590","1.6045","0.0000"
"8.1000","3600.7520","1.6084","0.0000"
"8.1200","3603.1614","1.6124","0.0000"
"8.1400","3606.1782","1.6164","0.0000"
"8.1600","3609.1174","1.6204","0.0000"
"8.1800","3612.3574","1.6244","0.0000"
"8.2000","3615.6069","1.6285","0.0000"
"8.2200","3618.1045","1.6325","0.0000"
"8.2400","3620.6614","1.6365","0.0000"
"8.2600","3623.1252","1.6405","0.0000"
"8.2800","3625.6250","1.6445","0.0000"
"8.3000","3628.6497","1.6485","0.0000"
"8.3200","3631.3940","1.6526","0.0000"
"8.3400","3633.9368","1.6566","0.0000"
"8.3600","3636.6965","1.6606","0.0000"
"8.3800","3638.6951","1.6646","0.0000"
"8.4000","3640.4128","1.6685","0.0000"
"8.4200","3642.6978","1.6724","0.0000"
"8.4400","3644.8594","1.6764","0.0000"
"8.4600","3647.6013","1.6804","0.0000"
"8.4800","3651.0662","1.6844","0.0000"
"8.5000","3654.1875","1.6885","0.0000"
"8.5200","3657.0010","1.6925","0.0000"
"8.5400","3659.8289","1.6966","0.0000"
"8.5600","3662.0811","1.7006","0.0000"
"8.5800","3664.2029","1.7045","0.0000"
"8.6000","3666.7527","1.7085","0.0000"
"8.6200","3669.4563","1.7125","0.0000"
"8.6400","3672.4224","1.7166","0.0000"
"8.6600","3675.3005","1.7206","0.0000"
"8.6800","3677.4087","1.7246","0.0000"
"8.7000","3679.2849","1.7285","0.0000"
"8.7200","3681.1975","1.7325","0.0000"
"8.7400","3683.3372","1.7364","0.0000"
"8.7600","3686.3264","1.7404","0.0000"
"8.7800","3689.4824","1.7444","0.0000"
"8.8000","3692.4492","1.7484","0.0000"
"8.8200","3695.5266","1.7525","0.0000"
"8.8400","3697.9512","1.7565","0.0000"
"8.8600","3700.3118","1.7604","0.0000"
"8.8800","3702.9785","1.7644","0.0000"
"8.9000","3705.4353","1.7684","0.0000"
"8.9200","3708.2117","1.7725","0.0000"
"8.9400","3711.2537","1.7765","0.0000"
"8.9600","3713.6089","1.7806","0.0000"
"8.9800","3715.7979","1.7846","0.0000"
"9.0000","3718.2822","1.7885","0.0000"
"9.0200","3720.5417","1.7924","0.0000"
"9.0400","3723.2493","1.7964","0.0000"
"9.0600","3726.3774","1.8005","0.0000"
"9.0800","3729.0100","1.8045","0.0000"
"9.1000","3731.6890","1.8085","0.0000"
"9.1200","3734.1628","1.8125","0.0000"
"9.1400","3736.1748","1.8165","0.0000"
"9.1600","3738.3557","1.8204","0.0000"
"9.1800","3740.7354","1.8244","0.0000"
"9.2000","3743.2622","1.8284","0.0000"
"9.2200","3746.4570","1.8324","0.0000"
"9.2400","3749.5479","1.8365","0.0000"
"9.2600","3752.1753","1.8406","0.0000"
"9.2800","3754.6055","1.8446","0.0000"
"9.3000","3756.5459","1.8486","0.0000"
"9.3200","3758.6724","1.8525","0.0000"
"9.3400","3761.1357","1.8565","0.0000"
"9.3600","3763.4175","1.8604","0.0000"
"9.3800","3766.0786","1.8644","0.0000"
"9.4000","3769.2788","1.8685","0.0000"
"9.4200","3771.8921","1.8725","0.0000"
"9.4400","3774.4727","1.8765","0.0000"
"9.4600","3777.0811","1.8805","0.0000"
"9.4800","3779.2966","1.8845","0.0000"
"9.5000","3782.0105","1.8885","0.0000"
"9.5200","3785.1914","1.8925","0.0000"
"9.5400","3787.8242","1.8965","0.0000"
"9.5600","3790.3384","1.9006","0.0000"
"9.5800","3792.7422","1.9046","0.0000"
"9.6000","3794.5620","1.9085","0.0000"
"9.6200","3796.5752","1.9125","0.0000"
"9.6400","3798.9941","1.9164","0.0000"
"9.6600","3801.4788","1.9204","0.0000"
"9.6800","3804.6277","1.9245","0.0000"
"9.7000","3807.8123","1.9285","0.0000"
"9.7200","3810.3491","1.9326","0.0000"
"9.7400","3812.6870","1.9366","0.0000"
"9.7600","3814.7410","1.9405","0.0000"
