Time,Force,Displacement,PIP count
(s),(N),(mm),
"2692.5970","-285.4571","0.2912","1.0000"
"2692.6170","-285.3920","0.2912","1.0000"
"2692.6370","-285.4723","0.2912","1.0000"
"2692.6570","-285.5026","0.2912","1.0000"
"2692.6770","-285.4633","0.2912","1.0000"
"2692.6970","-285.5104","0.2912","1.0000"
"2692.7170","-285.5071","0.2912","1.0000"
"2692.7370","-285.4600","0.2912","1.0000"
"2692.7570","-285.4019","0.2912","1.0000"
"2692.7770","-285.4013","0.2912","1.0000"
"2692.7970","-285.4804","0.2912","1.0000"
"2692.8170","-285.5209","0.2912","1.0000"
"2692.8370","-285.4931","0.2912","1.0000"
"2692.8570","-285.5002","0.2912","1.0000"
"2692.8770","-285.5283","0.2912","1.0000"
"2692.8970","-285.5063","0.2912","1.0000"
"2692.9170","-285.5559","0.2912","1.0000"
"2692.9370","-285.5456","0.2912","1.0000"
"2692.9570","-285.6163","0.2912","1.0000"
"2692.9770","-285.5521","0.2912","1.0000"
"2692.9970","-285.5189","0.2912","1.0000"
"2693.0170","-285.5688","0.2912","1.0000"
"2693.0370","-285.5435","0.2912","1.0000"
"2693.0570","-285.6347","0.2912","1.0000"
"2693.0770","-285.6531","0.2912","1.0000"
"2693.0970","-285.5325","0.2912","1.0000"
"2693.1170","-285.4829","0.2912","1.0000"
"2693.1370","-285.5634","0.2912","1.0000"
"2693.1570","-285.5952","0.2912","1.0000"
"2693.1770","-285.5875","0.2912","1.0000"
"2693.1970","-285.6209","0.2912","1.0000"
"2693.2170","-285.5960","0.2912","1.0000"
"2693.2370","-285.5390","0.2912","1.0000"
"2693.2570","-285.5201","0.2912","1.0000"
"2693.2770","-285.5889","0.2912","1.0000"
"2693.2970","-285.6121","0.2912","1.0000"
"2693.3170","-285.5387","0.2912","1.0000"
"2693.3370","-285.4787","0.2912","1.0000"
"2693.3570","-285.5572","0.2912","1.0000"
"2693.3770","-285.5348","0.2912","1.0000"
"2693.3970","-285.5401","0.2912","1.0000"
"2693.4170","-285.5482","0.2912","1.0000"
"2693.4370","-285.5144","0.2912","1.0000"
"2693.4570","-285.5434","0.2912","1.0000"
"2693.4770","-285.5566","0.2912","1.0000"
"2693.4970","-285.5225","0.2912","1.0000"
"2693.5170","-285.4333","0.2912","1.0000"
"2693.5370","-285.4284","0.2912","1.0000"
"2693.5570","-285.4596","0.2912","1.0000"
"2693.5770","-285.3671","0.2912","1.0000"
"2693.5970","-285.4151","0.2912","1.0000"
"2693.6170","-285.4616","0.2912","1.0000"
"2693.6370","-285.4528","0.2912","1.0000"
"2693.6570","-285.4000","0.2912","1.0000"
"2693.6770","-285.4345","0.2912","1.0000"
"2693.6970","-285.4632","0.2912","1.0000"
"2693.7170","-285.4370","0.2912","1.0000"
"2693.7370","-285.4958","0.2912","1.0000"
"2693.7570","-285.4507","0.2912","1.0000"
"2693.7770","-285.3890","0.2912","1.0000"
"2693.7970","-285.4260","0.2912","1.0000"
"2693.8170","-285.4120","0.2912","1.0000"
"2693.8370","-285.4597","0.2912","1.0000"
"2693.8570","-285.4409","0.2912","1.0000"
"2693.8770","-285.3777","0.2912","1.0000"
"2693.8970","-285.3817","0.2912","1.0000"
"2693.9170","-285.4984","0.2912","1.0000"
"2693.9370","-285.4689","0.2912","1.0000"
"2693.9570","-285.4107","0.2912","1.0000"
"2693.9770","-285.4254","0.2912","1.0000"
"2693.9970","-285.4020","0.2912","1.0000"
"2694.0170","-285.3909","0.2912","1.0000"
"2694.0370","-285.4507","0.2912","1.0000"
"2694.0570","-285.4164","0.2912","1.0000"
"2694.0770","-285.4301","0.2912","1.0000"
"2694.0970","-285.4807","0.2912","1.0000"
"2694.1170","-285.5347","0.2912","1.0000"
"2694.1370","-285.5223","0.2912","1.0000"
"2694.1570","-285.4726","0.2912","1.0000"
"2694.1770","-285.5047","0.2912","1.0000"
"2694.1970","-285.4810","0.2912","1.0000"
"2694.2170","-285.4727","0.2912","1.0000"
"2694.2370","-285.4831","0.2912","1.0000"
"2694.2570","-285.4423","0.2912","1.0000"
"2694.2770","-285.3703","0.2912","1.0000"
"2694.2970","-285.4134","0.2912","1.0000"
"2694.3170","-285.5237","0.2912","1.0000"
"2694.3370","-285.5478","0.2912","1.0000"
"2694.3570","-285.5879","0.2912","1.0000"
"2694.3770","-285.6001","0.2912","1.0000"
"2694.3970","-285.5663","0.2912","1.0000"
"2694.4170","-285.4463","0.2912","1.0000"
"2694.4370","-285.3830","0.2912","1.0000"
"2694.4570","-285.4773","0.2912","1.0000"
"2694.4770","-285.4711","0.2912","1.0000"
"2694.4970","-285.4504","0.2912","1.0000"
"2694.5170","-285.4809","0.2912","1.0000"
"2694.5370","-285.5846","0.2912","1.0000"
"2694.5570","-285.5316","0.2912","1.0000"
"2694.5770","-285.4872","0.2912","1.0000"
"2694.5970","-285.4763","0.2912","1.0000"
"2694.6170","-285.4896","0.2912","1.0000"
"2694.6370","-285.4621","0.2912","1.0000"
"2694.6570","-285.5135","0.2912","1.0000"
"2694.6770","-285.4853","0.2912","1.0000"
"2694.6970","-285.4662","0.2912","1.0000"
"2694.7170","-285.4963","0.2912","1.0000"
"2694.7370","-285.4650","0.2912","1.0000"
"2694.7570","-285.4341","0.2912","1.0000"
"2694.7770","-285.4536","0.2912","1.0000"
"2694.7970","-285.3844","0.2912","1.0000"
"2694.8170","-285.3554","0.2912","1.0000"
"2694.8370","-285.5007","0.2912","1.0000"
"2694.8570","-285.5361","0.2912","1.0000"
"2694.8770","-285.5302","0.2912","1.0000"
"2694.8970","-285.6330","0.2912","1.0000"
"2694.9170","-285.6378","0.2912","1.0000"
"2694.9370","-285.5937","0.2912","1.0000"
"2694.9570","-285.5664","0.2912","1.0000"
"2694.9770","-285.5576","0.2912","1.0000"
"2694.9970","-285.4834","0.2912","1.0000"
"2695.0170","-285.5280","0.2912","1.0000"
"2695.0370","-285.5093","0.2912","1.0000"
"2695.0570","-285.5047","0.2912","1.0000"
"2695.0770","-285.5676","0.2912","1.0000"
"2695.0970","-285.5425","0.2912","1.0000"
"2695.1170","-285.5134","0.2912","1.0000"
"2695.1370","-285.4330","0.2912","1.0000"
"2695.1570","-285.4119","0.2912","1.0000"
"2695.1770","-285.5196","0.2912","1.0000"
"2695.1970","-285.6215","0.2912","1.0000"
"2695.2170","-285.5979","0.2912","1.0000"
"2695.2370","-285.6136","0.2912","1.0000"
"2695.2570","-285.5828","0.2912","1.0000"
"2695.2770","-285.4996","0.2912","1.0000"
"2695.2970","-285.4375","0.2912","1.0000"
"2695.3170","-285.6209","0.2912","1.0000"
